geonameid,name,lat,lon,region,department,population,settlement_morpheme,naming_language,religious_element,ethnonym,ethnonym_stem,split_ordinal,patronym,patronym_group,eco_term,eco_kind,name_reuse_count
2252217,Djiniper,13.06667,-15.88333,Sedhiou,Bounkiling,0,,,,,,,,,,,1
2252216,Djinnthiang,15.36323,-12.95073,Matam,Kanel,0,,,,,,,,,,,1
2252214,Djinokouna,12.56667,-16.15778,Ziguinchor,Ziguinchor,0,,,,,,,,,,,1
2251237,Djinol,13.0003,-16.39899,Ziguinchor,Bignona,0,,,,,,,,,,,2
13658745,Djinol,13.00647,-16.37615,Ziguinchor,Bignona,0,,,,,,,,,,,2
2252213,Djinonaye,12.98333,-16.13333,Ziguinchor,Bignona,0,,,,,,,,,,,1
2251224,Djinoungué,13.02227,-16.31938,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252212,Djioundji,13.08945,-16.20832,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252211,Djipakoum,12.91306,-16.0625,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252209,Djirak,12.35889,-16.62611,Ziguinchor,Oussouye,0,,,,,,,,,,,1
2251218,Djiral,13.09957,-16.32911,Ziguinchor,Bignona,0,,,,,,,,,,,1
6917776,Djirine,12.5513,-12.7901,Kedougou,Salemata,0,,,,,,,,,,,1
2252207,Djirnda,13.98015,-16.60799,Fatick,Foundiougne,0,,,,,,,,,,,1
2252206,Djiromaït,12.5475,-16.52778,Ziguinchor,Oussouye,0,,,,,,,,,,,1
2251215,Djirèm,13.02466,-16.26355,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252208,Djirédi,12.61611,-15.78611,Sedhiou,Sedhiou,0,,,,,,,,,,,1
13658193,Djissa Aliou,13.80691,-16.18809,Kaolack,Nioro Du Rip,0,,,,,,,,,,,1
13658226,Djissa Sadio,13.82115,-16.18814,Kaolack,Nioro Du Rip,0,,,,,,,,,,,1
2252205,Djita,14.37543,-12.22578,Tambacounda,Bakel,0,,,,,,,,,,,1
13658739,Djiter,13.1129,-16.30973,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252204,Djitoukoubon,12.80417,-16.17944,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252203,Djiva,12.81667,-16.2,Ziguinchor,Bignona,0,,,,,,,,,,,1
