geonameid,name,asciiname,lat,lon,feature_code,admin1_code,admin2_code,population,lang_guess,name_root,name_dupe_count
2250842,Kanène Khar,Kanene Khar,15.5,-16.03333,PPL,13,,0,,,1
2250841,Kanène Ndiob,Kanene Ndiob,15.3628,-16.1734,PPL,13,,0,,,1
2250851,Kanékaré,Kanekare,12.68333,-12.41667,PPL,17,,0,,,1
2250847,Kanéma,Kanema,12.56944,-15.93361,PPL,18,,0,,,1
13658779,Kaok,Kaok,13.14204,-16.05678,PPL,12,2253903,0,,,1
2250805,Kaolack,Kaolack,14.15197,-16.07259,PPLA,10,,298904,,,1
2250803,Kaolak,Kaolak,14.03498,-16.08027,PPL,10,,0,,,1
2250801,Kaoné,Kaone,15.08333,-16.71667,PPL,07,,0,,,2
2250802,Kaoné,Kaone,12.73333,-14.25,PPL,11,,0,,,2
2250797,Kaouadir,Kaouadir,12.81972,-16.51278,PPL,12,,0,,,1
2250794,Kaouel,Kaouel,15.5511,-14.2027,PPL,15,,0,,,1
2250792,Kaoulou,Kaoulou,15.03333,-16.41667,PPL,07,,0,,,1
2250790,Kaour,Kaour,12.56611,-15.90778,PPL,18,,0,,,1
2250789,Kaourou,Kaourou,13.6196,-12.04259,PPL,05,,0,,,1
2250788,Kaoutou,Kaoutou,13.38196,-12.54944,PPL,05,,0,,,1
2250786,Kaparan,Kaparan,12.86444,-16.31917,PPL,12,,0,,,1
2595579,Kaparok,Kaparok,14.70057,-17.11691,PPL,07,,0,,,1
2250784,Kapeïel,Kapeiel,12.93333,-13.66667,PPL,11,,0,,,1
2250783,Kaporta,Kaporta,13.90122,-12.6699,PPL,05,,0,,,1
2250782,Kapote,Kapote,12.66667,-15.58333,PPL,18,,0,,,1
2250781,Kapoundoune,Kapoundoune,12.97583,-15.83667,PPL,18,,0,,,1
13504637,Kar Kar,KarKar,14.93276,-16.62897,PPL,03,2254315,0,,,1
2250780,Kara,Kara,15.56667,-16.3,PPL,13,,0,,,1
2250761,Kara Vendou,Kara Vendou,15.8927,-14.1657,PPL,14,,0,,,1
